Model Segment	Date	Prdcted_Kd
2_M_OTB	2015-06-15	0.353
2_M_OTB	2015-07-15	0.446
2_M_OTB	2015-08-15	0.497
2_M_OTB	2015-09-15	0.453
2_M_OTB	2015-10-15	0.355
2_M_OTB	2015-11-15	0.294
2_M_OTB	2015-12-15	0.224
2_M_OTB	2016-01-15	0.167
2_M_OTB	2016-02-15	0.162
2_M_OTB	2016-03-15	0.206
2_M_OTB	2016-04-15	0.280
2_M_OTB	2016-05-15	0.306
2_M_OTB	2016-06-15	0.356
2_M_OTB	2016-07-15	0.434
2_M_OTB	2016-08-15	0.473
2_M_OTB	2016-09-15	0.441
2_M_OTB	2016-10-15	0.350
2_M_OTB	2016-11-15	0.295
2_M_OTB	2016-12-15	0.224
3_S_OTB	2005-02-15	0.152
3_S_OTB	2005-03-15	0.181
3_S_OTB	2005-04-15	0.246
3_S_OTB	2005-05-15	0.270
3_S_OTB	2005-06-15	0.321
3_S_OTB	2005-07-15	0.393
3_S_OTB	2005-08-15	0.411
3_S_OTB	2005-09-15	0.371
3_S_OTB	2005-10-15	0.302
3_S_OTB	2005-11-15	0.251
3_S_OTB	2005-12-15	0.193
3_S_OTB	2006-01-15	0.166
3_S_OTB	2006-02-15	0.157
3_S_OTB	2006-03-15	0.182
3_S_OTB	2006-04-15	0.239
3_S_OTB	2006-05-15	0.255
3_S_OTB	2006-06-15	0.298
3_S_OTB	2006-07-15	0.386
3_S_OTB	2006-08-15	0.420
3_S_OTB	2006-09-15	0.387
3_S_OTB	2006-10-15	0.307
3_S_OTB	2006-11-15	0.245
3_S_OTB	2006-12-15	0.191
3_S_OTB	2007-01-15	0.158
3_S_OTB	2007-02-15	0.136
3_S_OTB	2007-03-15	0.164
3_S_OTB	2007-04-15	0.254
3_S_OTB	2007-05-15	0.294
3_S_OTB	2007-06-15	0.311
3_S_OTB	2007-07-15	0.369
3_S_OTB	2007-08-15	0.396
3_S_OTB	2007-09-15	0.361
3_S_OTB	2007-10-15	0.294
3_S_OTB	2007-11-15	0.239
3_S_OTB	2007-12-15	0.188
3_S_OTB	2008-01-15	0.146
3_S_OTB	2008-02-15	0.149
3_S_OTB	2008-03-15	0.192
3_S_OTB	2008-04-15	0.262
3_S_OTB	2008-05-15	0.268
3_S_OTB	2008-06-15	0.307
3_S_OTB	2008-07-15	0.379
3_S_OTB	2008-08-15	0.399
3_S_OTB	2008-09-15	0.360
3_S_OTB	2008-10-15	0.277
3_S_OTB	2008-11-15	0.232
3_S_OTB	2008-12-15	0.181
3_S_OTB	2009-01-15	0.137
3_S_OTB	2009-02-15	0.126
3_S_OTB	2009-03-15	0.161
3_S_OTB	2009-04-15	0.225
3_S_OTB	2009-05-15	0.267
3_S_OTB	2009-06-15	0.322
3_S_OTB	2009-07-15	0.394
3_S_OTB	2009-08-15	0.417
3_S_OTB	2009-09-15	0.382
3_S_OTB	2009-10-15	0.309
3_S_OTB	2009-11-15	0.251
3_S_OTB	2009-12-15	0.199
3_S_OTB	2010-01-15	0.169
3_S_OTB	2010-02-15	0.156
3_S_OTB	2010-03-15	0.201
3_S_OTB	2010-04-15	0.268
3_S_OTB	2010-05-15	0.277
3_S_OTB	2010-06-15	0.316
3_S_OTB	2010-07-15	0.383
3_S_OTB	2010-08-15	0.404
3_S_OTB	2010-09-15	0.370
3_S_OTB	2010-10-15	0.297
3_S_OTB	2010-11-15	0.239
3_S_OTB	2010-12-15	0.167
3_S_OTB	2011-01-15	0.159
3_S_OTB	2011-02-15	0.152
3_S_OTB	2011-03-15	0.182
3_S_OTB	2011-04-15	0.256
3_S_OTB	2011-05-15	0.271
3_S_OTB	2011-06-15	0.306
3_S_OTB	2011-08-15	0.407
3_S_OTB	2011-09-15	0.375
3_S_OTB	2011-10-15	0.298
3_S_OTB	2011-11-15	0.252
3_S_OTB	2011-12-15	0.193
3_S_OTB	2012-01-15	0.154
3_S_OTB	2012-02-15	0.150
3_S_OTB	2012-03-15	0.176
3_S_OTB	2012-04-15	0.231
3_S_OTB	2012-05-15	0.253
3_S_OTB	2012-06-15	0.301
3_S_OTB	2012-07-15	0.382
3_S_OTB	2012-08-15	0.423
3_S_OTB	2012-09-15	0.386
3_S_OTB	2012-10-15	0.309
3_S_OTB	2012-11-15	0.244
3_S_OTB	2012-12-15	0.190
3_S_OTB	2013-01-15	0.149
3_S_OTB	2013-02-15	0.129
3_S_OTB	2013-03-15	0.170
3_S_OTB	2013-04-15	0.244
3_S_OTB	2013-05-15	0.261
3_S_OTB	2013-06-15	0.308
3_S_OTB	2013-07-15	0.384
3_S_OTB	2013-08-15	0.421
3_S_OTB	2013-09-15	0.386
3_S_OTB	2013-10-15	0.308
3_S_OTB	2013-11-15	0.249
3_S_OTB	2013-12-15	0.187
3_S_OTB	2014-01-15	0.147
3_S_OTB	2014-02-15	0.149
3_S_OTB	2014-03-15	0.185
3_S_OTB	2014-04-15	0.246
3_S_OTB	2014-05-15	0.264
3_S_OTB	2014-06-15	0.307
3_S_OTB	2014-07-15	0.378
3_S_OTB	2014-08-15	0.399
3_S_OTB	2014-09-15	0.372
3_S_OTB	2014-10-15	0.306
3_S_OTB	2014-11-15	0.251
3_S_OTB	2014-12-15	0.198
3_S_OTB	2015-01-15	0.163
3_S_OTB	2015-02-15	0.149
3_S_OTB	2015-03-15	0.188
3_S_OTB	2015-04-15	0.249
3_S_OTB	2015-05-15	0.266
3_S_OTB	2015-06-15	0.304
3_S_OTB	2015-07-15	0.384
3_S_OTB	2015-08-15	0.432
3_S_OTB	2015-09-15	0.393
3_S_OTB	2015-10-15	0.308
3_S_OTB	2015-11-15	0.256
3_S_OTB	2015-12-15	0.197
3_S_OTB	2016-01-15	0.151
3_S_OTB	2016-02-15	0.150
3_S_OTB	2016-03-15	0.189
3_S_OTB	2016-04-15	0.247
3_S_OTB	2016-05-15	0.269
3_S_OTB	2016-06-15	0.314
3_S_OTB	2016-07-15	0.379
3_S_OTB	2016-08-15	0.415
3_S_OTB	2016-09-15	0.387
3_S_OTB	2016-10-15	0.308
3_S_OTB	2016-11-15	0.258
3_S_OTB	2016-12-15	0.198
4_N_HB	2005-02-15	0.208
4_N_HB	2005-03-15	0.246
4_N_HB	2005-04-15	0.325
4_N_HB	2005-05-15	0.357
4_N_HB	2005-06-15	0.467
4_N_HB	2005-07-15	0.523
4_N_HB	2005-08-15	0.530
4_N_HB	2005-09-15	0.473
4_N_HB	2005-10-15	0.390
4_N_HB	2005-11-15	0.328
4_N_HB	2005-12-15	0.253
4_N_HB	2006-01-15	0.220
4_N_HB	2006-02-15	0.225
4_N_HB	2006-03-15	0.245
4_N_HB	2006-04-15	0.306
4_N_HB	2006-05-15	0.323
4_N_HB	2006-06-15	0.400
4_N_HB	2006-07-15	0.644
4_N_HB	2006-08-15	0.589
4_N_HB	2006-09-15	0.504
4_N_HB	2006-10-15	0.396
4_N_HB	2006-11-15	0.315
4_N_HB	2006-12-15	0.247
4_N_HB	2007-01-15	0.208
4_N_HB	2007-02-15	0.185
4_N_HB	2007-03-15	0.218
4_N_HB	2007-04-15	0.319
4_N_HB	2007-05-15	0.370
4_N_HB	2007-06-15	0.389
4_N_HB	2007-07-15	0.463
4_N_HB	2007-08-15	0.506
4_N_HB	2007-09-15	0.458
4_N_HB	2007-10-15	0.379
4_N_HB	2007-11-15	0.309
4_N_HB	2007-12-15	0.240
4_N_HB	2008-01-15	0.194
4_N_HB	2008-02-15	0.198
4_N_HB	2008-03-15	0.259
4_N_HB	2008-04-15	0.347
4_N_HB	2008-05-15	0.342
4_N_HB	2008-06-15	0.387
4_N_HB	2008-07-15	0.480
4_N_HB	2008-09-15	0.455
4_N_HB	2008-10-15	0.353
4_N_HB	2008-11-15	0.296
4_N_HB	2008-12-15	0.232
4_N_HB	2009-01-15	0.181
4_N_HB	2009-02-15	0.170
4_N_HB	2009-03-15	0.212
4_N_HB	2009-04-15	0.288
4_N_HB	2009-05-15	0.346
4_N_HB	2009-06-15	0.419
4_N_HB	2009-07-15	0.511
4_N_HB	2009-08-15	0.531
4_N_HB	2009-09-15	0.497
4_N_HB	2009-10-15	0.400
4_N_HB	2009-11-15	0.320
4_N_HB	2009-12-15	0.259
4_N_HB	2010-01-15	0.231
4_N_HB	2010-02-15	0.217
4_N_HB	2010-03-15	0.278
4_N_HB	2010-04-15	0.360
4_N_HB	2010-05-15	0.361
4_N_HB	2010-06-15	0.398
4_N_HB	2010-07-15	0.486
4_N_HB	2010-09-15	0.474
4_N_HB	2010-10-15	0.376
4_N_HB	2010-11-15	0.303
4_N_HB	2010-12-15	0.217
4_N_HB	2011-01-15	0.208
4_N_HB	2011-02-15	0.201
4_N_HB	2011-03-15	0.239
4_N_HB	2011-04-15	0.344
4_N_HB	2011-05-15	0.348
4_N_HB	2011-06-15	0.382
4_N_HB	2011-07-15	0.473
4_N_HB	2011-08-15	0.518
4_N_HB	2011-09-15	0.478
4_N_HB	2011-10-15	0.392
4_N_HB	2011-11-15	0.329
4_N_HB	2011-12-15	0.249
4_N_HB	2012-01-15	0.198
4_N_HB	2012-02-15	0.194
4_N_HB	2012-03-15	0.228
4_N_HB	2012-04-15	0.295
4_N_HB	2012-05-15	0.320
4_N_HB	2012-06-15	0.395
4_N_HB	2012-07-15	0.509
4_N_HB	2012-08-15	0.564
4_N_HB	2012-09-15	0.514
4_N_HB	2012-10-15	0.419
4_N_HB	2012-11-15	0.322
4_N_HB	2012-12-15	0.247
4_N_HB	2013-01-15	0.200
4_N_HB	2013-02-15	0.176
4_N_HB	2013-03-15	0.227
4_N_HB	2013-04-15	0.315
4_N_HB	2013-05-15	0.338
4_N_HB	2013-06-15	0.410
4_N_HB	2013-07-15	0.512
4_N_HB	2013-08-15	0.550
4_N_HB	2013-09-15	0.497
4_N_HB	2013-10-15	0.402
4_N_HB	2013-11-15	0.322
4_N_HB	2013-12-15	0.242
4_N_HB	2014-01-15	0.196
4_N_HB	2014-02-15	0.199
4_N_HB	2014-03-15	0.247
4_N_HB	2014-04-15	0.319
4_N_HB	2014-05-15	0.339
4_N_HB	2014-06-15	0.392
4_N_HB	2014-07-15	0.485
4_N_HB	2014-08-15	0.505
4_N_HB	2014-09-15	0.477
4_N_HB	2014-10-15	0.412
4_N_HB	2014-11-15	0.335
4_N_HB	2014-12-15	0.265
4_N_HB	2015-01-15	0.219
4_N_HB	2015-02-15	0.209
4_N_HB	2015-03-15	0.262
4_N_HB	2015-04-15	0.325
4_N_HB	2015-05-15	0.338
4_N_HB	2015-06-15	0.389
4_N_HB	2015-07-15	0.484
4_N_HB	2015-08-15	0.553
4_N_HB	2015-09-15	0.508
4_N_HB	2015-10-15	0.405
4_N_HB	2015-11-15	0.334
4_N_HB	2015-12-15	0.259
4_N_HB	2016-01-15	0.213
4_N_HB	2016-02-15	0.218
4_N_HB	2016-03-15	0.260
4_N_HB	2016-04-15	0.325
4_N_HB	2016-05-15	0.347
4_N_HB	2016-06-15	0.415
4_N_HB	2016-07-15	0.488
4_N_HB	2016-08-15	0.539
4_N_HB	2016-09-15	0.511
4_N_HB	2016-10-15	0.422
4_N_HB	2016-11-15	0.340
4_N_HB	2016-12-15	0.257
5_S_HB	2005-02-15	0.190
5_S_HB	2005-03-15	0.224
5_S_HB	2005-04-15	0.296
5_S_HB	2005-05-15	0.323
5_S_HB	2005-06-15	0.415
5_S_HB	2005-07-15	0.479
5_S_HB	2005-08-15	0.484
5_S_HB	2005-09-15	0.433
5_S_HB	2005-10-15	0.357
5_S_HB	2005-11-15	0.298
5_S_HB	2005-12-15	0.230
5_S_HB	2006-01-15	0.202
5_S_HB	2006-02-15	0.203
5_S_HB	2006-03-15	0.222
5_S_HB	2006-04-15	0.278
5_S_HB	2006-05-15	0.294
5_S_HB	2006-06-15	0.357
5_S_HB	2006-07-15	0.549
5_S_HB	2006-08-15	0.526
5_S_HB	2006-09-15	0.459
5_S_HB	2006-10-15	0.361
5_S_HB	2006-11-15	0.286
5_S_HB	2006-12-15	0.225
5_S_HB	2007-01-15	0.189
5_S_HB	2007-02-15	0.168
5_S_HB	2007-03-15	0.198
5_S_HB	2007-04-15	0.297
5_S_HB	2007-05-15	0.343
5_S_HB	2007-06-15	0.355
5_S_HB	2007-07-15	0.421
5_S_HB	2007-08-15	0.458
5_S_HB	2007-09-15	0.417
5_S_HB	2007-10-15	0.345
5_S_HB	2007-11-15	0.280
5_S_HB	2007-12-15	0.218
5_S_HB	2008-01-15	0.177
5_S_HB	2008-02-15	0.183
5_S_HB	2008-03-15	0.238
5_S_HB	2008-04-15	0.317
5_S_HB	2008-05-15	0.312
5_S_HB	2008-06-15	0.353
5_S_HB	2008-07-15	0.436
5_S_HB	2008-09-15	0.415
5_S_HB	2008-10-15	0.320
5_S_HB	2008-11-15	0.269
5_S_HB	2008-12-15	0.211
5_S_HB	2009-01-15	0.164
5_S_HB	2009-02-15	0.154
5_S_HB	2009-03-15	0.192
5_S_HB	2009-04-15	0.260
5_S_HB	2009-05-15	0.315
5_S_HB	2009-06-15	0.382
5_S_HB	2009-07-15	0.465
5_S_HB	2009-08-15	0.486
5_S_HB	2009-09-15	0.454
5_S_HB	2009-10-15	0.365
5_S_HB	2009-11-15	0.293
5_S_HB	2009-12-15	0.238
5_S_HB	2010-01-15	0.211
5_S_HB	2010-02-15	0.198
5_S_HB	2010-03-15	0.253
5_S_HB	2010-04-15	0.327
5_S_HB	2010-05-15	0.328
5_S_HB	2010-06-15	0.363
5_S_HB	2010-07-15	0.443
5_S_HB	2010-09-15	0.432
5_S_HB	2010-10-15	0.344
5_S_HB	2010-11-15	0.277
5_S_HB	2010-12-15	0.197
5_S_HB	2011-01-15	0.191
5_S_HB	2011-02-15	0.184
5_S_HB	2011-03-15	0.219
5_S_HB	2011-04-15	0.312
5_S_HB	2011-05-15	0.317
5_S_HB	2011-06-15	0.349
5_S_HB	2011-07-15	0.430
5_S_HB	2011-08-15	0.471
5_S_HB	2011-09-15	0.435
5_S_HB	2011-10-15	0.356
5_S_HB	2011-11-15	0.299
5_S_HB	2011-12-15	0.228
5_S_HB	2012-01-15	0.183
5_S_HB	2012-02-15	0.180
5_S_HB	2012-03-15	0.209
5_S_HB	2012-04-15	0.267
5_S_HB	2012-05-15	0.291
5_S_HB	2012-06-15	0.357
5_S_HB	2012-07-15	0.460
5_S_HB	2012-08-15	0.511
5_S_HB	2012-09-15	0.467
5_S_HB	2012-10-15	0.379
5_S_HB	2012-11-15	0.292
5_S_HB	2012-12-15	0.225
5_S_HB	2013-01-15	0.182
5_S_HB	2013-02-15	0.160
5_S_HB	2013-03-15	0.206
5_S_HB	2013-04-15	0.287
5_S_HB	2013-05-15	0.307
5_S_HB	2013-06-15	0.371
5_S_HB	2013-07-15	0.463
5_S_HB	2013-08-15	0.500
5_S_HB	2013-09-15	0.454
5_S_HB	2013-10-15	0.366
5_S_HB	2013-11-15	0.293
5_S_HB	2013-12-15	0.221
5_S_HB	2014-01-15	0.179
5_S_HB	2014-02-15	0.182
5_S_HB	2014-03-15	0.225
5_S_HB	2014-04-15	0.290
5_S_HB	2014-05-15	0.309
5_S_HB	2014-06-15	0.357
5_S_HB	2014-07-15	0.441
5_S_HB	2014-08-15	0.460
5_S_HB	2014-09-15	0.435
5_S_HB	2014-10-15	0.373
5_S_HB	2014-11-15	0.303
5_S_HB	2014-12-15	0.241
5_S_HB	2015-01-15	0.200
5_S_HB	2015-02-15	0.190
5_S_HB	2015-03-15	0.237
5_S_HB	2015-04-15	0.295
5_S_HB	2015-05-15	0.307
5_S_HB	2015-06-15	0.352
5_S_HB	2015-07-15	0.439
5_S_HB	2015-08-15	0.502
5_S_HB	2015-09-15	0.463
5_S_HB	2015-10-15	0.368
5_S_HB	2015-11-15	0.304
5_S_HB	2015-12-15	0.237
5_S_HB	2016-01-15	0.193
5_S_HB	2016-02-15	0.198
5_S_HB	2016-03-15	0.236
5_S_HB	2016-04-15	0.295
5_S_HB	2016-05-15	0.316
5_S_HB	2016-06-15	0.377
5_S_HB	2016-07-15	0.444
5_S_HB	2016-08-15	0.491
5_S_HB	2016-09-15	0.465
5_S_HB	2016-10-15	0.381
5_S_HB	2016-11-15	0.309
5_S_HB	2016-12-15	0.235
6_N_MTB	2005-02-15	0.149
6_N_MTB	2005-03-15	0.171
6_N_MTB	2005-04-15	0.224
6_N_MTB	2005-05-15	0.245
6_N_MTB	2005-06-15	0.300
6_N_MTB	2005-07-15	0.362
6_N_MTB	2005-08-15	0.370
6_N_MTB	2005-09-15	0.338
6_N_MTB	2005-10-15	0.278
6_N_MTB	2005-11-15	0.230
6_N_MTB	2005-12-15	0.179
6_N_MTB	2006-01-15	0.161
6_N_MTB	2006-02-15	0.154
6_N_MTB	2006-03-15	0.169
6_N_MTB	2006-04-15	0.213
6_N_MTB	2006-05-15	0.226
6_N_MTB	2006-06-15	0.265
6_N_MTB	2006-07-15	0.372
6_N_MTB	2006-08-15	0.389
6_N_MTB	2006-09-15	0.354
6_N_MTB	2006-10-15	0.279
6_N_MTB	2006-11-15	0.221
6_N_MTB	2006-12-15	0.175
6_N_MTB	2007-01-15	0.148
6_N_MTB	2007-02-15	0.129
6_N_MTB	2007-03-15	0.151
6_N_MTB	2007-04-15	0.245
6_N_MTB	2007-05-15	0.277
6_N_MTB	2007-06-15	0.273
6_N_MTB	2007-07-15	0.322
6_N_MTB	2007-08-15	0.350
6_N_MTB	2007-09-15	0.320
6_N_MTB	2007-10-15	0.264
6_N_MTB	2007-11-15	0.214
6_N_MTB	2007-12-15	0.170
6_N_MTB	2008-01-15	0.137
6_N_MTB	2008-02-15	0.146
6_N_MTB	2008-03-15	0.189
6_N_MTB	2008-04-15	0.244
6_N_MTB	2008-05-15	0.241
6_N_MTB	2008-06-15	0.273
